formula_id,item_id,domain,assessor_A_rating,assessor_B_rating,agreement,disagreement_type
F000,ID01,Formula identity,qualified,qualified,TRUE,exact agreement
F000,ID02,Formula identity,qualified,qualified,TRUE,exact agreement
F000,ID03,Formula identity,qualified,qualified,TRUE,exact agreement
F000,ID04,Formula identity,qualified,qualified,TRUE,exact agreement
F000,ID05,Formula identity,qualified,qualified,TRUE,exact agreement
F000,ID06,Formula identity,qualified,qualified,TRUE,exact agreement
F000,ID07,Formula identity,qualified,qualified,TRUE,exact agreement
F000,ID08,Formula identity,qualified,qualified,TRUE,exact agreement
F000,ID09,Formula identity,qualified,qualified,TRUE,exact agreement
F000,ID10,Formula identity,partially qualified,partially qualified,TRUE,exact agreement
F000,PC01,Preparation chemistry,qualified,qualified,TRUE,exact agreement
F000,PC02,Preparation chemistry,partially qualified,partially qualified,TRUE,exact agreement
F000,PC03,Preparation chemistry,qualified,qualified,TRUE,exact agreement
F000,PC04,Preparation chemistry,qualified,qualified,TRUE,exact agreement
F000,PC05,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F000,PC06,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F000,PC07,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F000,CH01,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F000,CH02,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F000,CH03,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F000,CH04,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F000,CH05,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F000,CH06,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F000,TP01,Target provenance,qualified,qualified,TRUE,exact agreement
F000,TP02,Target provenance,partially qualified,partially qualified,TRUE,exact agreement
F000,TP03,Target provenance,not estimable,not estimable,TRUE,exact agreement
F000,TP04,Target provenance,partially qualified,partially qualified,TRUE,exact agreement
F000,TP05,Target provenance,not estimable,not estimable,TRUE,exact agreement
F000,TP06,Target provenance,not estimable,not estimable,TRUE,exact agreement
F000,TP07,Target provenance,qualified,qualified,TRUE,exact agreement
F000,TP08,Target provenance,qualified,qualified,TRUE,exact agreement
F000,HC01,Human disease context,qualified,qualified,TRUE,exact agreement
F000,HC02,Human disease context,qualified,qualified,TRUE,exact agreement
F000,HC03,Human disease context,qualified,qualified,TRUE,exact agreement
F000,HC04,Human disease context,qualified,qualified,TRUE,exact agreement
F000,HC05,Human disease context,qualified,qualified,TRUE,exact agreement
F000,HC06,Human disease context,not estimable,not estimable,TRUE,exact agreement
F000,GE01,Human genetics,not estimable,not estimable,TRUE,exact agreement
F000,GE02,Human genetics,not estimable,not estimable,TRUE,exact agreement
F000,GE03,Human genetics,not estimable,not estimable,TRUE,exact agreement
F000,GE04,Human genetics,not estimable,not estimable,TRUE,exact agreement
F000,GE05,Human genetics,not estimable,not estimable,TRUE,exact agreement
F000,PE01,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F000,PE02,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F000,PE03,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F000,PE04,Formula perturbation and task identifiability,partially qualified,qualified,FALSE,other state threshold
F000,SE01,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F000,SE02,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F000,SE03,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F000,SE04,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F001,ID01,Formula identity,qualified,qualified,TRUE,exact agreement
F001,ID02,Formula identity,qualified,qualified,TRUE,exact agreement
F001,ID03,Formula identity,qualified,qualified,TRUE,exact agreement
F001,ID04,Formula identity,qualified,qualified,TRUE,exact agreement
F001,ID05,Formula identity,not estimable,not estimable,TRUE,exact agreement
F001,ID06,Formula identity,partially qualified,partially qualified,TRUE,exact agreement
F001,ID07,Formula identity,partially qualified,partially qualified,TRUE,exact agreement
F001,ID08,Formula identity,not estimable,not estimable,TRUE,exact agreement
F001,ID09,Formula identity,qualified,qualified,TRUE,exact agreement
F001,ID10,Formula identity,not estimable,not estimable,TRUE,exact agreement
F001,PC01,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F001,PC02,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F001,PC03,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F001,PC04,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F001,PC05,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F001,PC06,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F001,PC07,Preparation chemistry,not estimable,not estimable,TRUE,exact agreement
F001,CH01,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F001,CH02,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F001,CH03,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F001,CH04,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F001,CH05,Chemical reconstruction,partially qualified,partially qualified,TRUE,exact agreement
F001,CH06,Chemical reconstruction,qualified,qualified,TRUE,exact agreement
F001,TP01,Target provenance,qualified,qualified,TRUE,exact agreement
F001,TP02,Target provenance,not estimable,not estimable,TRUE,exact agreement
F001,TP03,Target provenance,not estimable,not estimable,TRUE,exact agreement
F001,TP04,Target provenance,not estimable,not estimable,TRUE,exact agreement
F001,TP05,Target provenance,not estimable,not estimable,TRUE,exact agreement
F001,TP06,Target provenance,not estimable,not estimable,TRUE,exact agreement
F001,TP07,Target provenance,not estimable,not estimable,TRUE,exact agreement
F001,TP08,Target provenance,qualified,qualified,TRUE,exact agreement
F001,HC01,Human disease context,not estimable,not estimable,TRUE,exact agreement
F001,HC02,Human disease context,not estimable,not estimable,TRUE,exact agreement
F001,HC03,Human disease context,not estimable,not estimable,TRUE,exact agreement
F001,HC04,Human disease context,not estimable,not estimable,TRUE,exact agreement
F001,HC05,Human disease context,not estimable,not estimable,TRUE,exact agreement
F001,HC06,Human disease context,not estimable,not estimable,TRUE,exact agreement
F001,GE01,Human genetics,not estimable,not estimable,TRUE,exact agreement
F001,GE02,Human genetics,not estimable,not estimable,TRUE,exact agreement
F001,GE03,Human genetics,not estimable,not estimable,TRUE,exact agreement
F001,GE04,Human genetics,not estimable,not estimable,TRUE,exact agreement
F001,GE05,Human genetics,not estimable,not estimable,TRUE,exact agreement
F001,PE01,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F001,PE02,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F001,PE03,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F001,PE04,Formula perturbation and task identifiability,not estimable,not estimable,TRUE,exact agreement
F001,SE01,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F001,SE02,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F001,SE03,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
F001,SE04,Structural eligibility,stopped,not estimable,FALSE,stopped versus not estimable
