formula_position,herb_pinyin,chinese_name,pharmacopoeia_name,latin_binomial,medicinal_part,processing_state,daily_dose_g,dose_status,database_query_synonyms,database_species_matching,identity_evidence_status
1,Nanshashen,南沙参,Adenophorae Radix,"Adenophora stricta Miq.; Adenophora tetraphylla (Thunb.) Fisch.",root,unprocessed,30,author-confirmed,"南沙参; Adenophorae Radix; Nanshashen","accepted pharmacopoeial source species; database record retained only when the herb synonym resolves to the pharmacopoeial drug",locked; dose confirmed
2,Baizhu,白术,Atractylodis Macrocephalae Rhizoma,Atractylodes macrocephala Koidz.,rhizome,unprocessed,30,author-confirmed,"白术; Atractylodis Macrocephalae Rhizoma; Baizhu","exact pharmacopoeial species or curated herb-level synonym",locked; dose confirmed
3,Fuling,茯苓,Poria,"Wolfiporia extensa (Peck) Ginns",sclerotium,unprocessed,15,author-confirmed,"茯苓; Poria; Fuling","accepted pharmacopoeial fungal source name and retained database synonym",locked; dose confirmed
4,Gancao,甘草,Glycyrrhizae Radix et Rhizoma,"Glycyrrhiza uralensis Fisch.; Glycyrrhiza inflata Bat.; Glycyrrhiza glabra L.",root and rhizome,unprocessed,6,author-confirmed,"甘草; Glycyrrhizae Radix et Rhizoma; Gancao","accepted pharmacopoeial source species or curated drug-name synonym",locked; dose confirmed
5,Chenpi,陈皮,Citri Reticulatae Pericarpium,Citrus reticulata Blanco,pericarp,aged dried pericarp,15,author-confirmed,"陈皮; Citri Reticulatae Pericarpium; Chenpi","exact pharmacopoeial species or drug-name synonym",locked; dose confirmed
6,Banxia,法半夏,Pinelliae Rhizoma Praeparatum,Pinellia ternata (Thunb.) Breit.,tuber,processed Pinellia rhizome (Fa Banxia),15,author-confirmed,"法半夏; Pinelliae Rhizoma Praeparatum; Fa Banxia; Banxia","only prepared-Pinellia synonym retained for formula identity; raw Pinelliae Rhizoma excluded",locked; dose and processing form confirmed
7,Chaihu,北柴胡,Bupleuri Radix,Bupleurum chinense DC.,root,unprocessed,15,author-confirmed,"北柴胡; 柴胡; Bupleuri Radix; Beichaihu; Chaihu","formula identity restricted to Bupleurum chinense DC.; southern Bupleurum source excluded",locked; dose and northern source confirmed
8,Baishao,白芍,Paeoniae Radix Alba,Paeonia lactiflora Pall.,root,processed white paeony root,30,author-confirmed,"白芍; Paeoniae Radix Alba; Baishao","exact pharmacopoeial species and processed-drug synonym",locked; dose confirmed
9,Zhike,枳壳,Aurantii Fructus,Citrus aurantium L.,immature fruit,unprocessed,15,author-confirmed,"枳壳; Aurantii Fructus; Zhike","exact pharmacopoeial species or curated drug-name synonym",locked; dose confirmed
10,Huangqi,黄芪,Astragali Radix,"Astragalus mongholicus Bunge; Astragalus membranaceus (Fisch.) Bunge",root,unprocessed,60,author-confirmed,"黄芪; Astragali Radix; Huangqi","accepted pharmacopoeial source species or curated drug-name synonym",locked; dose confirmed
11,Beishashen,北沙参,Glehniae Radix,Glehnia littoralis F. Schmidt ex Miq.,root,unprocessed,30,author-confirmed,"北沙参; Glehniae Radix; Beishashen","exact pharmacopoeial species or curated drug-name synonym",locked; dose confirmed
12,Doukou,豆蔻,Amomi Fructus,"Amomum kravanh Pierre ex Gagnep.; Amomum compactum Sol. ex Maton",fruit,unprocessed,10,author-confirmed,"豆蔻; 豆蔻仁; Amomi Fructus; Doukou","accepted pharmacopoeial source species; fruit terminology used for the pharmacopoeial drug",locked; dose confirmed
13,Yiyiren,薏苡仁,Coicis Semen,Coix lacryma-jobi L. var. ma-yuen (Roman.) Stapf.,seed,unprocessed,20,author-confirmed,"薏苡仁; Coicis Semen; Yiyiren","exact pharmacopoeial taxon or curated drug-name synonym",locked; dose confirmed
14,Kuxingren,苦杏仁,Armeniacae Semen Amarum,"Prunus armeniaca L. var. ansu Maxim.; Prunus mandshurica (Maxim.) Koehne; Prunus sibirica L.",seed,unprocessed,10,author-confirmed,"苦杏仁; Armeniacae Semen Amarum; Kuxingren","accepted pharmacopoeial source species or curated drug-name synonym",locked; dose confirmed
15,Yuliren,郁李仁,Pruni Semen,"Prunus japonica Thunb.; Prunus humilis Bunge",seed,unprocessed,30,author-confirmed,"郁李仁; Pruni Semen; Yuliren","accepted pharmacopoeial source species or curated drug-name synonym",locked; dose confirmed
16,Baiziren,柏子仁,Platycladi Semen,Platycladus orientalis (L.) Franco,seed,unprocessed,30,author-confirmed,"柏子仁; Platycladi Semen; Baiziren","exact pharmacopoeial species or curated drug-name synonym",locked; dose confirmed
